//lanes.txt zur Definition der Spuren des Strassennetzes
// Format: index startx starty startz endx endy endz
0 -146 15 131 -112 15 131 
1 -112 15 127 -146 15 127
2 -156 10 103 -154 15 122
3 -150 15 122 -151 10 104
4 -55 0 118 -146 10 95
5 -147 10 100 -57 0 122
6 -102 15 122 -102 10 51
7 -106 10 51 -106 15 123
8 -171 5 45 -111 10 45
9 -111 10 41 -170 5 41
10 -97 10 46 -40 0 49
11 -40 0 44 -97 10 41
12 -34 0 56 -40 0 109
13 -30 0 57 -36 0 110
14 -31 0 110 -25 0 57
15 -27 0 111 -20 0 58
16 83 -10 94 -13 0 120
17 -12 0 124 85 -10 98
18 103 -10 38 93 -10 84
19 97 -10 86 108 -10 40
20 105 -10 -23 105 -10 20
21 111 -10 20 111 -10 -23
22 -32 0 -31 -31 0 35
23 -28 0 -31 -27 0 35
24 -23 0 35 -24 0 -31
25 -19 0 35 -19 0 -32
26 -148 10 -31 -106 10 36
27 -102 10 36 -143 10 -31
28 -172 15 -120 -152 10 -52
29 -147 10 -53 -166 15 -120
30 -43 0 -51 -138 10 -50
31 -42 0 -46 -138 10 -47
32 -138 10 -42 -41 0 -42
33 -138 10 -37 -40 0 -38
34 -39 0 -118 -40 0 -57
35 -35 0 -118 -35 0 -57
36 -30 0 -57 -30 0 -119
37 -26 0 -57 -26 0 -119
38 100 -10 -49 -21 0 -50
39 100 -10 -45-19 0 -46
40 -18 0 -43 100 -10 -42
41 -16 0 -39 100 -10 -38
42 105 -15 -82 105 -10 -58
43 110 -10 -59 110 -15 -82 
44 366 -20 -91 115 -15 -91
45 115 -15 -85 366 -20 -86
46 221 0 -47 124 -10 -49
47 221 0 -43 124 -10 -45
48 124 -10 -41 221 0 -39
49 124 -10 -37 220 0 -34
50 286 10 -73 245 0 -49
51 290 10 -70 247 0 -45
52 250 0 -41 295 10 -67
53 252 0 -37 299 10 -64
54 245 0 -127 288 10 -96
55 247 0 -131 292 10 -99
56 296 10 -102 250 0 -137
57 301 10 -105 252 0 -141
58 218 0 -144 43 10 -140
59 218 0 -140 43 10 -136
60 43 10 -131 219 0 -135
61 43 10 -127 219 0 -131
62 33 10 -237 33 10 -144
63 37 10 -144 38 10 -237
64 27 10 -138 -28 0 -137
65 27 10 -134 -27 0 -134
66 -25 0 -130 27 10 -130
67 -25 0 -125 27 10 -125
68 -49 0 -246 -48 0 -143
69 -45 0 -247 -44 0 -144
70 -40 0 -144 -40 0 -247
71 -36 0 -145 -36 0 -247
72 20 10 -258 -28 0 -261
73 -28 0 -257 20 10 -254
74 101 15 -258 53 10 -258
75 53 10 -253 101 15 -253
76 -51 0 -137 -161 15 -137
77 -50 0 -133 -162 15 -133
78 -162 15 -130 -48 0 -129
79 -162 15 -127 -47 0 -126
80 -136 10 -232 -171 15 -143
81 -166 15 -143 -131 10 -232
82 -116 10 -316 -134 10 -251
83 -129 10 -250 -112 10 -314
84 -41 0 -354 -103 10 -327
85 -101 10 -323 -40 0 -350
86 -34 0 -341 -47 0 -270
87 -29 0 -340 -43 0 -269
88 -39 0 -269 -24 0 -340
89 -34 0 -268 -20 0 -340
90 38 15 -357 34 10 -268
91 38 10 -268 41 15 -356
92 113 15 -365 47 15 -365
93 47 15 -361 113 15 -361
94 119 10 -306 121 15 -357
95 117 15 -357 115 10 -306
96 -8 0 -345 110 10 -298
97 111 10 -303 -6 0 -349
98 -53 0 -261 -75 5 -261
99 -75 5 -256 -53 0 -256
100 -101 5 -243 -126 10 -243
101 -126 10 -238 -100 5 -238
